"block_id","Row_drug","Col_drug","HSA_score","SampleID"
198,"Birinapant","Ibrutinib",-5.83,"CLL3"
199,"Birinapant","MK-2206",-4.502,"CLL3"
200,"Birinapant","Selumetinib",-0.844,"CLL3"
201,"BX-912","Duvelisib",1.986,"CLL3"
202,"BX-912","Ibrutinib",-1.633,"CLL3"
203,"BX-912","MK-2206",4.36,"CLL3"
204,"BX-912","Selumetinib",6.042,"CLL3"
205,"CHIR-99021","Duvelisib",3.339,"CLL3"
206,"CHIR-99021","Ibrutinib",-1.653,"CLL3"
207,"CHIR-99021","MK-2206",4.561,"CLL3"
208,"CHIR-99021","Selumetinib",5.722,"CLL3"
209,"Dasatinib","Duvelisib",8.512,"CLL3"
210,"Dasatinib","Ibrutinib",4.766,"CLL3"
211,"Dasatinib","MK-2206",6.043,"CLL3"
212,"Dasatinib","Selumetinib",5.578,"CLL3"
213,"Duvelisib","Duvelisib",4.573,"CLL3"
214,"Duvelisib","Ibrutinib",4.233,"CLL3"
215,"Duvelisib","MK-2206",7.205,"CLL3"
216,"Duvelisib","Selumetinib",11.003,"CLL3"
217,"Fludarabine","Duvelisib",1.459,"CLL3"
218,"Fludarabine","Ibrutinib",-3.422,"CLL3"
219,"Fludarabine","MK-2206",1.153,"CLL3"
220,"Fludarabine","Selumetinib",2.796,"CLL3"
221,"GDC-0152","Duvelisib",-6.915,"CLL3"
222,"GDC-0152","Ibrutinib",-7.195,"CLL3"
223,"GDC-0152","MK-2206",-5.575,"CLL3"
224,"GDC-0152","Selumetinib",-1.797,"CLL3"
225,"Gefitinib","Duvelisib",-2.038,"CLL3"
226,"Gefitinib","Ibrutinib",-3.765,"CLL3"
227,"Gefitinib","MK-2206",-1.76,"CLL3"
228,"Gefitinib","Selumetinib",3.767,"CLL3"
229,"GSK429286A","Duvelisib",3.878,"CLL3"
230,"GSK429286A","Ibrutinib",-3.114,"CLL3"
231,"GSK429286A","MK-2206",3.148,"CLL3"
232,"GSK429286A","Selumetinib",7.327,"CLL3"
233,"Ibrutinib","Duvelisib",7.635,"CLL3"
234,"Ibrutinib","Ibrutinib",4.224,"CLL3"
235,"Ibrutinib","MK-2206",6.497,"CLL3"
236,"Ibrutinib","Selumetinib",5.206,"CLL3"
237,"KX2-391","Duvelisib",2.702,"CLL3"
238,"KX2-391","Ibrutinib",-4.39,"CLL3"
239,"KX2-391","MK-2206",2.005,"CLL3"
240,"KX2-391","Selumetinib",2.868,"CLL3"
241,"Lenalidomide","Duvelisib",-2.526,"CLL3"
242,"Lenalidomide","Ibrutinib",-7.329,"CLL3"
243,"Lenalidomide","MK-2206",-7.032,"CLL3"
244,"Lenalidomide","Selumetinib",-5.467,"CLL3"
245,"MK-2206","Duvelisib",6.497,"CLL3"
246,"MK-2206","Ibrutinib",4.133,"CLL3"
247,"MK-2206","MK-2206",4.615,"CLL3"
248,"MK-2206","Selumetinib",11.635,"CLL3"
249,"Onalespib","Duvelisib",5.864,"CLL3"
250,"Onalespib","Ibrutinib",3.803,"CLL3"
251,"Onalespib","MK-2206",5.277,"CLL3"
252,"Onalespib","Selumetinib",4.112,"CLL3"
253,"PRT062607","Duvelisib",3.596,"CLL3"
254,"PRT062607","Ibrutinib",3.358,"CLL3"
255,"PRT062607","MK-2206",6.278,"CLL3"
256,"PRT062607","Selumetinib",3.892,"CLL3"
257,"Quizartinib","Duvelisib",4.038,"CLL3"
258,"Quizartinib","Ibrutinib",-0.68,"CLL3"
259,"Quizartinib","MK-2206",5.568,"CLL3"
260,"Quizartinib","Selumetinib",8.055,"CLL3"
261,"Ruxolitinib","Duvelisib",0.833,"CLL3"
262,"Ruxolitinib","Ibrutinib",-5.328,"CLL3"
263,"Ruxolitinib","MK-2206",1.144,"CLL3"
264,"Ruxolitinib","Selumetinib",3.499,"CLL3"
265,"Selinexor","Duvelisib",8.823,"CLL3"
266,"Selinexor","Ibrutinib",4.651,"CLL3"
267,"Selinexor","MK-2206",10.256,"CLL3"
268,"Selinexor","Selumetinib",5.48,"CLL3"
269,"Selumetinib","Duvelisib",4.548,"CLL3"
270,"Selumetinib","Ibrutinib",-1.589,"CLL3"
271,"Selumetinib","MK-2206",7.395,"CLL3"
272,"Selumetinib","Selumetinib",4.247,"CLL3"
273,"Tipifarnib","Duvelisib",7.79,"CLL3"
274,"Tipifarnib","Ibrutinib",3.12,"CLL3"
275,"Tipifarnib","MK-2206",8.529,"CLL3"
276,"Tipifarnib","Selumetinib",7.545,"CLL3"
